CUSTOMER,ITEM,QUANTITY,TRANSACTIONS
39e6f5b384950dfad8db11f24e34e854c2fe3760e609a4de38442e6ea5dbd23d,bb3ce5f621f4b58b31290e459c3a5031eafddd471ca6a7401082ecd98a906d84,2.0000,2
3882495289f74388061d3943dabd78f4cd2f2dafc049fef062b1b249860110ba,58d295a9cc71686effccdca857ad965dd34a3b634c54f9aad0e04c8caeeea4aa,23.0000,3
db084e5ff7617f94bbe9162b853409b03c5adc457a3f8f450ff6e8d2de58865a,9275d19e0cb75654954f5a5c86ec6cb03060f72c962e628a5cfbaae3181d8d1b,3.0000,3
d37b67f6bf63f6d87b42c622553ccb203a411e29294fed8ccd20a06b07c69606,cbbb2c30cbb8cc6a61e7699adcb1cfe39f08ae8f5a35d702266f54276413237c,1.0000,1
6b5656f294f1e3dfc46e77c2770cb4d0e071b6c91beb912ed8aeacb8b2be46bf,ce084f0bebbf24273118172d1844a02402a9ac40f7c8250726424e9b05ab432e,6.0000,4
5c005187c86ff01fdb23ee0abd2eb5c9f48f5b7b978fa06275a29c7f8e614e01,c9e074615669978e20057d01fe8cf66a0d48d409a09769608808f31dc58061d1,1.0000,1
0389c2ce4e72b13c2bc49bc942d51fb958223bcb792e9aec98daa7d6f2b1a500,d2e6e9a2ed5583d2bd0d5fea299ebd691ba9f7bf59688a4aa259aac6f8207306,3.0000,3
ebabdb3160f48cffecd1d4d6f315d65afa04d4f0f3ed307562cd592c6fcab508,0879d270604fe348d2c5ff1610a665d66cdcc1c62e1afd62d412799dc5149ce8,3.0000,3
55d427d11ab3265f917daff6d369e4810e8379a196503951d58b3c76f72e658d,1c70ee9a408a47b4dcf85e2cafb97782c313855b61cd0172c1e8e89097cc81ca,4.0000,4
bc0dd538762327343a4e25a79447dd278d26c4c9d51d5bc70870d8a2d73b2867,e7b3ced7305e15831a363c810e5caa9e2fdc23023048de58dec1d05517794427,3.0000,3
026fe0dd6d78100139b5d68ae97207bc6b9b3b9e7a4e1e7441433e8316108285,8f76aa7912671508355dc2ca1bddac5cb89c0d393e3e93d8854db1b76bb14c81,3.0000,3
ad65a81b4f8db27063bdecc1f303ca9293b4da8fb884760e253a2a0f0e24e23e,6f8e56b7c0a255d724e772bedffeeff491afd81901da023ab9f931e02061d014,1.0000,1
7cc36634f3f2a9d18f1b481fb0c7562e31c2bfc28bb06cb88aed5b0861d78dc9,e5519cf0f639b518b111026a1e76e6753292a7053392e355b5a27fa92b4f55c3,5.0000,3
836e62fc6c671197b83650a01b8b45318fc9eda8e783996e2b3460a6c2ae76e9,14a97d22f1379cae45966267639bb1b8c95aecf1e5a15c6a1067bf784ec36206,4.0000,2
80d83a20a4dd16fa5342f54923bf0da0d48f83621aa433b78b6cd52f501ddfdd,a47866ecaac40095d3695ae8450f3dc83fa8b15144884631aa2946c455d7cc21,8.0000,3
dc2c0c8986ca5ff3b9c1cf2c8cdaa339cefbdd661b17008fb77f9b99d56ed6f9,ced3ec3469987b8a868d07924502eed6ce26f18a49a88a563689823a2f5fd3fd,5.0000,3
419f81f06df636c7a52e9aa0f85256a33befdbc97df20dc59e8f30f46534250b,d49da2240fcc6c8ce39e6121b992182b3d1b71e9356f4af92ffa13d601a3f369,7.0000,3
fb8be9e87ce4684b82f7f5f1b232525191a3575aca8ed30eab6cc1cbb00b0271,5dbea717d3f1e3431c11d0c5fb8d4694648b306fd83f4bf1226a537131804786,4.0000,2
c25b9d28a1bc0627d1481df58e81d55633ed7449d9513d2139a7d54016d28e86,abb87bdb518badcf33fc455e513be6903c6f7d877828e5c811bf4dff79771ef0,3.0000,3
8435482b561901dc044addeadd588e87214444b38157efc3006e296bbd5c34c1,cb36db85d86786a2ada43a5d8bd734fc71b0b586db6fe5e98619bbc623be452b,2.0000,2
ce2ea99ff27c45f6f983f2fbd6e3d8a47fe361defac7172a1c7aa7a7c80280d8,58d295a9cc71686effccdca857ad965dd34a3b634c54f9aad0e04c8caeeea4aa,18.0000,5
ca7dc7be6264576aeb4c15b4625f32e2ac40a88667215f4df8e8d193e7f23d68,ff16b894cc729f76a7b6f32fc9b5b561f64339f8efff77eb2b671d30b3fc90b2,3.0000,3
18b5b66cef14df5209ffcb68cf1c8d6f70342a7d3c0f475d70c353538e8111c6,da52acc39962220d32dbaaa6f0fb2ca3de2366343b00d0e4d2bc71ede2a53b7e,6.0000,1
2b222842bf83e728729c023063feec12e2adc74752b5f5069b55e5fd77473b90,93ca4748e8f6d7759604344391197ef16e1b53ca5cf40df75430908c5140946f,11.0000,3
ca7dc7be6264576aeb4c15b4625f32e2ac40a88667215f4df8e8d193e7f23d68,d1a7d185f4ad73de74d59c3ce0bff0831b51e59b00f57fe44b53bb23198cec20,2.0000,2
7a7a6b07709940d30a4470cbd1480e534f93dfcf2f412d975063e847dd881180,88b3eb994e047ecd49628eb0fbccb6100b6baaff8c77023a3e59dcf50c8dd446,16.0000,5
335a7304ebc268c52214fd7428b836d6a3b85e5f9e7abadf144806f997900da1,2df37d5e60ac97350d4dddec30e37a5ece70fa1389dde6fc1257f9b0c1511882,6.0000,1
6b5656f294f1e3dfc46e77c2770cb4d0e071b6c91beb912ed8aeacb8b2be46bf,dda28166ea8fb794de43d397332cb49788318ad1f25fe33d7d7499eafa958703,6.0000,4
428dddb0dc1c0b7d2815bc2660bace0624aa943a9b5310b3d73a8761220ffab0,20d6ae9ac3f1e3f6b50fb6bbf51e679484fdf1aca82a8db70d32079b2236d49d,1.0000,1
e422b8cfcb83da7e0785576e22a2c4297ce8b771358fc2b14bd3df3b5ec1a3ff,d8613d3eda52807b46850e290cd1f1c222b7f399d6b1e861b9e7e9695b932954,4.0000,2
0ad7dfc7951258faa280631f14dfcc4be27abf6305b3d1d0b28a0cd08860d2e1,a3eb21ab741b53333d7181963f49e90af1036d95df708a492998d2ee70ec7d9e,3.0000,3
3ea25177d16d047fbc221a022de2c86646b2ba9344ea3c75a8ab216263d9c7ee,1c0408bf90f62d263d8af54713f205b4fcb5613185c36e6e88748d86204ac4d2,6.0000,3
056fa18fb44652e946436597cfb8fe2d2f7579674b79e6d46895016cff914803,3f3479a29153e275326abcbd3a6ef411bbcd71e926762cad1467bd9c0c2a73a8,2.0000,1
81aafc70d5d9841e394c961387c2632ef4f409848e612d9a1becdac40b3ce786,bb3ce5f621f4b58b31290e459c3a5031eafddd471ca6a7401082ecd98a906d84,2.0000,2
a37ee8183f58750cbf20038a3c38f725a02c6b0695715104448a9ffc1dbf9bdf,d49da2240fcc6c8ce39e6121b992182b3d1b71e9356f4af92ffa13d601a3f369,2.0000,1
b351594634a4c5bca93c1ec18b51492aa9dbbef52561b2539eab9c13371f4c10,16ef06672011a568ab1f4ffca9c28a308640d1a1b9813b082a63bb9a995f545f,1.0000,1
ff4dbdb33b9b9d8a924d4805f25dd80bb4b79e3dd0a33da506efdcd603ed48d4,be2133e295a39286cc3eca7bddc6178db43464fd3cf5a98eb26e9a80233fee1d,13.0000,2
63223aaa4a013e0395db10362c848dad28527915f7cd1c113b070b8ad47a5bbc,e00368e78ca98edca30b8f4f5826c63028ab41479b7dd0d1d8017fde163f1c20,21.0000,4
a5833f29d6870ff781feec34cd282895054973a32ad7434a70a57a834f6bd379,271514e2711e13d0826c5498d11aeff927d0a88689e3960ff6a7520e3e52b1d2,4.0000,4
7a7a6b07709940d30a4470cbd1480e534f93dfcf2f412d975063e847dd881180,2859d351bbb0283300d5528d8cbbe883554728af56ecc8d86ac4704b7db15bee,1.0000,1
5c005187c86ff01fdb23ee0abd2eb5c9f48f5b7b978fa06275a29c7f8e614e01,5dbea717d3f1e3431c11d0c5fb8d4694648b306fd83f4bf1226a537131804786,6.0000,4
d7d64b4e961aac8dd545cf86e12b4e94b203def2363fc3a573f42459a2d53784,c903a0edb4eea1d4f244541c66e3be6446d29b74ddbc021ff523b703796da1d0,7.0000,4
74208cddb77b4c0614e7e2c9c18e179f72c42197d7292ab363aeb6aecd03e9f9,93ca4748e8f6d7759604344391197ef16e1b53ca5cf40df75430908c5140946f,1.0000,1
fb502fe1661b6ac9a1d1a4065ee402759a8e0585ae82c195fb70dc75befd2b1a,24e092417bb42d4031ec8530673f51456ab6599584f14300815bf539f14d1405,1.0000,1
1e1b2f658ddc06eb3bb0667b24c7d98b460dca954dbf7a23a3763e901d95e9c1,d1a7d185f4ad73de74d59c3ce0bff0831b51e59b00f57fe44b53bb23198cec20,4.0000,3
8d6cf3b61a748e000630f6e36f013da0c4f2e9ab4b4e5f4d05248a4a266e9e21,ed956b10deaac13a0771ab172af324e958df860481a0b5e5f76d5c0446193b07,1.0000,1
674d572cc61555269d876ad1820acbca6cc857c42d0d7506834f05e10f1cc3ba,ea6f09a90b25d6d4f59e9f8df19a3a90f11dd722f7474bb71c6900da9328d90f,7.0000,3
bf2598a8d1ec4527528c5e92b83f47ed0da2bfe94e8a6dae769abe907b628fe8,f2ff372b8809071c42b5ac386dfa059d59870bcca4b1c116055d60fe169a7115,3.0000,3
7a316ed606235e3d71ec9822628ac0400064aeddc20bc0e5705e07e8d81fdda7,7451d0a9f6e7d5daa6e542b7dca2fa037765c2aa0d9baee1cb53ac9301ae2ad2,1.0000,1
0f208776865dbcd32a6859564573e79f0c0da62fd1bd793e29f2915805d88daa,72aa41ed39891fdd2fa15a5d81e53e3570337f9720f7028e8425065a98e2fc2d,8.0000,4
be884120befa4b36117e52999576f1e1f5b2e982b355b16776a215dc27eaf023,51bf6d83d000c260a065aa54280a28f7515f5bbde798daa0d687b1e835706daa,1.0000,1
fc8c64091ae50c267fa6173358be31848b5c815d03fa66942a78c5bb3042376f,8ff2d9b6abb61b13162daf8c34ec9a759b2b278cab3f7ce79aeeb94e526225ab,1.0000,1
94b8670a83528967cb139fe6a31a7cbd1f29d687192c11e58d2a8e1bf3adbc74,dda28166ea8fb794de43d397332cb49788318ad1f25fe33d7d7499eafa958703,1.0000,1
e6d7d032e8a4cc83566d36271de3978c6cc91c3a2b6539f636a891b09103e23b,a09a8cda2436b59e796152ecba3cf61ad0493aaac25affa3803b7ef64b22a3d5,1.0000,1
a8308504a33c044c037b0b345eea51d792466c3b95236194042f2915b6cb4cfd,be2133e295a39286cc3eca7bddc6178db43464fd3cf5a98eb26e9a80233fee1d,12.0000,6
ff574187ea9fd17154454db7e60d575280a0205657e61451ce77a819e432cddd,e4ad8e98e89a28e81c8b5324f478e0bb583a9ec8bb0c105f6fa4905a07e9a0b1,2.0000,2
91cb7cecbcc6d4a582759fc2c161b0b849a0bab6df16ca8dadf2bc5400789341,be2133e295a39286cc3eca7bddc6178db43464fd3cf5a98eb26e9a80233fee1d,4.0000,1
afa584093e8f931636c92d9ddd8a3cc6f505c271cf62f933375f8f4a2358ba28,d1a7d185f4ad73de74d59c3ce0bff0831b51e59b00f57fe44b53bb23198cec20,3.0000,2
afebbc66894a49f11238c249b061f4217b6ca107b9b27247731492b16be026fc,73642b7ccc578220c80a0cdf53f2726b5e9e6506e8897722b9680e78775f5f17,6.0000,6
3a366bb5f85b8a9467f35a6e2b291825d8148c940d21d4b6b7d9e816f1162ab3,803419a86fae10720ab0b85d092036687e237ef121cf90bc058819938d89d097,5.0000,1
b6d5a5a79df36fc6c55ff6de3af0a0e4831144a3c27e7a6209f017421b3b18ea,a9dcd65e3d215f6891095b28cdfa119833215b4b815637701b892c5b31c791e1,4.0000,2
77f0112729d18e89beea50d08e6ad811d19877bf6b96c6af3ebe0a4cde620bfd,6137dd2135cdd438acbd7530da65c9edb8d340806246a6442b4e124535f947ac,2.0000,2
