ITEM,QUANTITY,TRANSACTIONS,ITEM_NAME,SEGMENT,SUB_CAT,CAT,SUPER_CAT,ITEM_TOTAL_WEIGHT_OR_VOL_QTY
6446506d5cf328e5e4e0b47f3a2914a86d55b95e8b24f6ffd54cbb76855c3b3e,4527.0000,3354,Tena lady - extra plus duo pack x16,47fc30d2dfeaba94b1b61322cb705babf98b120dab4c891b4136620d15b5f367,581a25a4ede6489bea182a647896302985576f54f040c455773902d26916d7db,5a1f6e711a956a3d6246d6dbccf78ee28f12aeffc07f9d6e7bc8e23ca668cfa2,5df3e4da2395aef5c8b3267b7253bb118eae178abf3d68425e25476c9adc12cb,16.0000
abc0c83eaef2366dbec3b35a478c81547fc451f36663470bc41ccc6c8ff0c42c,2557.0000,2124,Tena Lady Mini X20,47fc30d2dfeaba94b1b61322cb705babf98b120dab4c891b4136620d15b5f367,581a25a4ede6489bea182a647896302985576f54f040c455773902d26916d7db,5a1f6e711a956a3d6246d6dbccf78ee28f12aeffc07f9d6e7bc8e23ca668cfa2,5df3e4da2395aef5c8b3267b7253bb118eae178abf3d68425e25476c9adc12cb,150.0000
63f3da95314c90b3195468322b10677a17a43d92b4dddcdb11fa01a58d76ffe4,2343.0000,1847,Tena lady - extra duo pack x20,47fc30d2dfeaba94b1b61322cb705babf98b120dab4c891b4136620d15b5f367,581a25a4ede6489bea182a647896302985576f54f040c455773902d26916d7db,5a1f6e711a956a3d6246d6dbccf78ee28f12aeffc07f9d6e7bc8e23ca668cfa2,5df3e4da2395aef5c8b3267b7253bb118eae178abf3d68425e25476c9adc12cb,512.0000
232247fa7953669d85b54088b2f236766342d1ce96f978496e46a7d55e87e747,3679.0000,1844,TENA LADY MAXI NIGHT x6,47fc30d2dfeaba94b1b61322cb705babf98b120dab4c891b4136620d15b5f367,581a25a4ede6489bea182a647896302985576f54f040c455773902d26916d7db,5a1f6e711a956a3d6246d6dbccf78ee28f12aeffc07f9d6e7bc8e23ca668cfa2,5df3e4da2395aef5c8b3267b7253bb118eae178abf3d68425e25476c9adc12cb,258.0000
cb5142698732aa569c90c8762ebdb0a7ed40330fa1abc6950605ac910ee1adfc,3348.0000,2680,Tena Lady Discreet Normal x16pc,47fc30d2dfeaba94b1b61322cb705babf98b120dab4c891b4136620d15b5f367,581a25a4ede6489bea182a647896302985576f54f040c455773902d26916d7db,5a1f6e711a956a3d6246d6dbccf78ee28f12aeffc07f9d6e7bc8e23ca668cfa2,5df3e4da2395aef5c8b3267b7253bb118eae178abf3d68425e25476c9adc12cb,160.0000
97526c73ec9b0b4b1884769f1d1ffcca941f58c502dbac631a5edd4a9b043089,6058.0000,4546,TENA Lady Discreet Normal Pads x12,47fc30d2dfeaba94b1b61322cb705babf98b120dab4c891b4136620d15b5f367,581a25a4ede6489bea182a647896302985576f54f040c455773902d26916d7db,5a1f6e711a956a3d6246d6dbccf78ee28f12aeffc07f9d6e7bc8e23ca668cfa2,5df3e4da2395aef5c8b3267b7253bb118eae178abf3d68425e25476c9adc12cb,176.0000
153f7c08ad964ceeafb2c5353ab1173400f3649605d5bacb4febee64f2d0a78e,4030.0000,2898,TENA LADY EXTRA X10,47fc30d2dfeaba94b1b61322cb705babf98b120dab4c891b4136620d15b5f367,581a25a4ede6489bea182a647896302985576f54f040c455773902d26916d7db,5a1f6e711a956a3d6246d6dbccf78ee28f12aeffc07f9d6e7bc8e23ca668cfa2,5df3e4da2395aef5c8b3267b7253bb118eae178abf3d68425e25476c9adc12cb,10.0000
5cb28e00bf74230326c0f5ae395c9fcb3a8da475d1a865c894bd46c4dc3ffdfa,2290.0000,1477,Always Discreet Sensitv Bladder Pad L+ 8,91ebab1130442fd7b84db25d55c72703b5f63e0a885a26dd8e306afc1ee05229,581a25a4ede6489bea182a647896302985576f54f040c455773902d26916d7db,5a1f6e711a956a3d6246d6dbccf78ee28f12aeffc07f9d6e7bc8e23ca668cfa2,5df3e4da2395aef5c8b3267b7253bb118eae178abf3d68425e25476c9adc12cb,154.0000
175ea9c9098579287b86429a3aa11b3f5e107f7f1190f8a351ffc32d05ce9701,2913.0000,1675,JS Comfort Pad Long Plus x8,010ef02e933cee6cf17a225ac38d7d40a7286c096f01150c9c551aaa50e2593d,581a25a4ede6489bea182a647896302985576f54f040c455773902d26916d7db,5a1f6e711a956a3d6246d6dbccf78ee28f12aeffc07f9d6e7bc8e23ca668cfa2,5df3e4da2395aef5c8b3267b7253bb118eae178abf3d68425e25476c9adc12cb,8.0000
206fa67423da964f24675baca7aa92c330978aff58ada68429f699c3cf5a9312,1928.0000,1285,TENA Lady Maxi Night x 12 Duo,47fc30d2dfeaba94b1b61322cb705babf98b120dab4c891b4136620d15b5f367,581a25a4ede6489bea182a647896302985576f54f040c455773902d26916d7db,5a1f6e711a956a3d6246d6dbccf78ee28f12aeffc07f9d6e7bc8e23ca668cfa2,5df3e4da2395aef5c8b3267b7253bb118eae178abf3d68425e25476c9adc12cb,510.0000
6580322e3b3ed89c5c0bf581124dcdcbee5d750877bacdd8fb9e36991ee28668,2372.0000,2124,lights by TENA Long Liner Duo x40,d39911d0b3f615fab5c036c3cd8ccdaed84afb0631fc1d12386a8d8fd486e73c,581a25a4ede6489bea182a647896302985576f54f040c455773902d26916d7db,5a1f6e711a956a3d6246d6dbccf78ee28f12aeffc07f9d6e7bc8e23ca668cfa2,5df3e4da2395aef5c8b3267b7253bb118eae178abf3d68425e25476c9adc12cb,266.0000
beb7c27c3bd5599e2482d283ede34c16e3d0c7f0ad45be1c52f9b635d2f346da,4259.0000,3018,JS Chicken Liver 400g,dbd6160cefc78876164fec243ffa0e3e7ccf5210efebbdf389ed40c5b111f05b,15b6b7cf5233478ecfeb41343d1fe559186a8a1adaa52d51e8c9f87afaab74fd,b57221ac437c57530ed471e12aa7df90e19f3b7f178fe966fb21982522a156c4,0d7eeabb4a81aec1080c87611310a6e5f80e04e7ea41796b4f3f295c9a083ff4,400.0000
08227d929899692968c7953baa19202a30ee27e168435268ae6ad08ce6cadd24,2485.0000,2485,JS FRESH PIGS LIVER CW,dbd6160cefc78876164fec243ffa0e3e7ccf5210efebbdf389ed40c5b111f05b,15b6b7cf5233478ecfeb41343d1fe559186a8a1adaa52d51e8c9f87afaab74fd,b57221ac437c57530ed471e12aa7df90e19f3b7f178fe966fb21982522a156c4,0d7eeabb4a81aec1080c87611310a6e5f80e04e7ea41796b4f3f295c9a083ff4,450.0000
73642b7ccc578220c80a0cdf53f2726b5e9e6506e8897722b9680e78775f5f17,7662.0000,7662,JS Lambs Liver CW,dbd6160cefc78876164fec243ffa0e3e7ccf5210efebbdf389ed40c5b111f05b,15b6b7cf5233478ecfeb41343d1fe559186a8a1adaa52d51e8c9f87afaab74fd,b57221ac437c57530ed471e12aa7df90e19f3b7f178fe966fb21982522a156c4,0d7eeabb4a81aec1080c87611310a6e5f80e04e7ea41796b4f3f295c9a083ff4,450.0000
4bf1ac9c051fd81293d2e027ad69eb6f26dd81dc3ee4d9d33a9ce57648e92528,3349.0000,2362,AHarriott Spice Sensation Couscous 100g,f28f78bb056f511d10bcc9786209dff6b2338d4e4ba7ad06ac13c07b40cf23b8,c56fea68f627e95e4d6943553a4ad7f7c7e27b6d8e85c35bf4f5c06503a68a61,aa0cdff40601c367c6f95019bb4946d09c2b977752fab8a9ed6674a05e90fa11,303d3bff03929ff76928fccc756ab6aa76afaee83eebe69b8302ea8844f5ac1f,100.0000
247c010a40af238d62c7c2f0ad8ee5d3d92333e03ebe9d463a78a46e1c899bd2,819.0000,473,Caminada Malbec 75cl,afc37d53146c37b2b832dba92bdbc634fb2a46359c8c5d46c4e5ae041ed8f3d5,1e12b06cd7d2135cabf83dfae174a6c36404f725676dab5ade2c5a1a06305394,c02f9b35e3543b88f063b31a638acbb99ea1d2eadbd86a1d2895046d531779bf,dc3a1ea6c2749c1a91cb06167442c3e5d0dbf6107dc1b8caf13cb31b162c0aaa,750.0000
631fb04e1f3edea5574a46a2ec57f286409643fc62a53fef915ee62973bf3794,1827.0000,1656,Ovaltine Malted Original Drink 300g,ddbaa0b42bb7bc44d3383658cab5c5c0348ffbe1642ff57a407d877e5bcf753b,8a73d0ee544797c6d969d41067aae1fda0d65b8ac7f828a41f40d91de10415aa,e0cde6bbce524881956da0957a66ddaff143f9ad7c7a2d4d8af626dd76485745,d7a0999920f6139b0eb50b75a58a373b41b30098394b4dff7678fe9907235a16,300.0000
f2ed3588a5f9c339b01d61410e457dc50611cecb75e7279de9286c35b6cd428b,5119.0000,4627,JS 6 Wholemeal Muffins,af6eeed95fe07595523a5400876180e8afdaeea848706b5860dfbbd9e664cceb,0b44e87694f137cf63f13e284a5520a11feeb28425d26f63b6a75571dda3520c,82d0ac32d4923570b515526d8c8e4877e558c8c6d199635b8b35200a826fbb11,7bac949c7751e676079835da84aebe8083fe5d6383e4057f6ab24fdcf9462ce6,374.0000
d49da2240fcc6c8ce39e6121b992182b3d1b71e9356f4af92ffa13d601a3f369,21518.0000,7170,Dairy Pride UHT Skimmed Milk 1l,8134119ad0ab6c51e7b12d2c25220bb252594d88e177681072827e92346bff1a,88c02080da0e3eb7d3e792ce036742f9c3874b4c49069b2af9926484f966249d,5b787bc1bab07d06a7731795ccc002cd63d08b1731ea9c61957fd880a8454da1,042a172740f7b6de757d54c5c8ae417f4af70326caf49174e3daec81d6f29a8e,1000.0000
