ID,ITEM1,ITEM2,PAIR_COUNT,ITEM1_COUNT,ITEM2_COUNT,LIFT
14229,a3df705a2dffa05976b853e19106b1b43a66f606775f91d9c63df096fab099ec,b708452353ce5dd80fdbc427de36bb44fd2b4098e14bd29c8b0557911cbbc53e,629,4896,35972,2.488894
14230,5dbea717d3f1e3431c11d0c5fb8d4694648b306fd83f4bf1226a537131804786,bb3ce5f621f4b58b31290e459c3a5031eafddd471ca6a7401082ecd98a906d84,21,1663,8165,1.077786
14231,a8d8c3c8d56e3939e2f74e5ed488e0ac2049183ee7718360e4bcca14334b9e34,ee9af63abbc01197bd4dddcbf530cf3a9a332f5afdeca532a9d6a7e1f91bf32d,11,1607,3896,1.224390
14232,56141b13b715b757bfa3fccb83cae45d1b121a179321a97faddc23661acc9528,9f3546d1dbaa4f42e58f406d7bfae1f755a647abceb737c8f61b84c26a05accd,22,2752,2715,2.051947
14233,073fab5e8fccd9d7ddd909d3c882a872a4ae8380b77bd379d36c84936762f190,b0ce09d860e87784c5b6ff756d5c69d2462b1f2ab1418499139702c448a8d290,10,2797,1536,1.622102
14234,3317f13d48760c5dbbc25d941baf41cb1f7c3505ee9d02f717d580549d20dd9f,5ecbc9b7ff064994adbd3e109720e494c249eebd67d6fa4841add16a0fc0e823,10,4111,1442,1.175571
14235,47b99699ea79aa63c3ebb344893a15d2b20678e741426f61493bb92c61f93e4e,72aa41ed39891fdd2fa15a5d81e53e3570337f9720f7028e8425065a98e2fc2d,15,1911,1280,4.273486
14236,49e1dc9cbdf93b5ccbaa301ae422ae961e0d62a44af9744b5862078a1a54e148,d7d75597f1ac980f515ca8142deb45650ba6c10c5d378cdd3ce7494306b08484,8,1946,1032,2.776062
14237,022884a3c80c51d1e71225e36af6647d9094aa4966782b92bab864e172872127,529aa00339d1b7fb7344d0e1f6799a1ae4b6a267ef4c96a5c95a68ac0677d0eb,25,2897,2411,2.494342
14238,2dafff8fb5c89589c6e387c525f00a609d08b8acc3fd651e5e42871c12ce5822,8f76aa7912671508355dc2ca1bddac5cb89c0d393e3e93d8854db1b76bb14c81,30,5260,1170,3.397124
14239,a4cbc6c92b45f4e9f9a56ac45fcc0e60bfca2381dda506edd4b06071472534aa,e7b3ced7305e15831a363c810e5caa9e2fdc23023048de58dec1d05517794427,30,3318,1691,3.726173
14240,2ea1a20ee824ce672e4a8e6e0a7b429da5e641a98fb6f9d48da8d212ab9608bd,56141b13b715b757bfa3fccb83cae45d1b121a179321a97faddc23661acc9528,46,7031,2752,1.656739
14241,07daeb1c094d7da8317a7ad98c4053f3b93fa063f595f64284911bc530aa3eae,1426757b09bf9657310dd48357109c9e5535f54a366915bad5a2dca785287660,8,1535,1310,2.772503
