ORIGINAL_ITEM_NAME,RECOMENDED_ITEM_NAME,LIFT,COSINE_SIMILARITY
Webbox chckn & liver tasty sticks x6 30g,Webbox turkey & lamb tasty sticks x6 30g,0.0,0.5101015
Webbox chckn & liver tasty sticks x6 30g,Webbox cat sticks with duck x6 30g,0.0,0.49640095
Webbox chckn & liver tasty sticks x6 30g,Webbox Lick-e-Lix liver & grass 5x15g,0.0,0.44857007
Webbox chckn & liver tasty sticks x6 30g,Webbox salmon & trout tasty stick x6 30g,0.0,0.43380454
Go-Cat senior 2kg,Go Cat senior chicken rice & veg 750g,0.0,0.5017402
Go-Cat senior 2kg,Purina One senior cat beef/chkn 8x85g,0.0,0.44941822
Go-Cat senior 2kg,Go-Cat adult tuna herring & veg 750g,0.0,0.44653076
Go-Cat senior 2kg,Go-Cat adult chicken & duck 2kg,0.0,0.4459525
NESCAFE ORIGINAL COFFEE 300G,Nescafe Cafe Irish Cream Latte 158g,0.0,0.4737671
NESCAFE ORIGINAL COFFEE 300G,Nescafe DG Latte Macchiato Pods x16,0.0,0.42380416
NESCAFE ORIGINAL COFFEE 300G,Nescafe Dolce Gusto Cafe Au Lait 160g,0.0,0.42200667
NESCAFE ORIGINAL COFFEE 300G,Nescafe Original 3in1 102g,0.0,0.40474594
JS dental sticks medium dogs x14 360g,JS dental sticks for large dogs x14 540g,0.0,0.79394656
JS dental sticks medium dogs x14 360g,JS dental sticks for small dogs x14 220g,0.0,0.7809821
JS dental sticks medium dogs x14 360g,JS minty fresh dental sticks large 540g,0.0,0.6566494
JS dental sticks medium dogs x14 360g,JS minty fresh dental sticks medium 360g,0.0,0.6509669
Pedigree tasty minis puppy 125g,JS small biscuit bones for dogs 800g,0.0,0.37553722
Pedigree tasty minis puppy 125g,Pedigree tasty minis beef & cheese 140g,0.0,0.37366349
Pedigree tasty minis puppy 125g,Pedigree tasty minis cubes chk/duck 130g,0.0,0.35304323
Pedigree tasty minis puppy 125g,Pedigree dentastix small dog x7 110g,0.0,0.35083708
JS odour control cat litter 10L,JS anti-bac ultra clumping cat litter 8L,0.0,0.5166484
JS odour control cat litter 10L,JS recycled FSC wood cat litter 10L,0.0,0.44567552
JS odour control cat litter 10L,Felight anti-bacterial cat litter 20L,0.0,0.40695027
JS odour control cat litter 10L,Felight anti-bacterial cat litter 10L,0.0,0.40445384
TAKE A BREAK,Cadbury Timeout 6 pack,0.0,0.21718065
TAKE A BREAK,JS chicken hotpot dinner 400g,0.0,0.21602298
TAKE A BREAK,JS Reduced Sugar Strawberry Jam 415g,0.0,0.19661862
TAKE A BREAK,POLIGRIP FLV FREE DENT FIXATIVE CRM 40G,0.0,0.1909615
Webbox turkey & lamb tasty sticks x6 30g,Webbox chckn & liver tasty sticks x6 30g,66.053313,0.4666434
Webbox turkey & lamb tasty sticks x6 30g,Webbox cat sticks with duck x6 30g,0.0,0.42134354
Webbox turkey & lamb tasty sticks x6 30g,Webbox salmon & trout tasty stick x6 30g,0.0,0.39237577
Webbox turkey & lamb tasty sticks x6 30g,Whiskas temptations chicken & cheese 60g,0.0,0.38122007
Daily's Simply Muesli 1kg,Daily's Oats 1kg,0.0,0.41382024
Daily's Simply Muesli 1kg,Kellogg's Special K Red Berries 500g,0.0,0.30999205
Daily's Simply Muesli 1kg,Kellogg's Fruit n Fibre 375g,0.0,0.30598283
Daily's Simply Muesli 1kg,Kellogg's Wheats Apricot 500g,0.0,0.28223145
Stamford Street Co. Potatoes 2.5kg,Stamford Street Mixed Vegetables 1kg,0.0,0.55356455
Stamford Street Co. Potatoes 2.5kg,Stamford Street Co. Carrots 1kg,0.0,0.5070102
Stamford Street Co. Potatoes 2.5kg,Stamford Street White Bread Medium 800g,0.0,0.48988283
Stamford Street Co. Potatoes 2.5kg,Stamford St Mixed Portions Pack 2kg,0.0,0.47807366
JS adult comn with chicken & veg 2.5kg,JS adult comn with chicken & veg 5kg,0.0,0.5838159
JS adult comn with chicken & veg 2.5kg,JS training treats rich in chicken 125g,0.0,0.5004028
JS adult comn with chicken & veg 2.5kg,JS senior comn with chicken & rice 2.5kg,0.0,0.45707244
JS adult comn with chicken & veg 2.5kg,JS comn meat selectn in gravy 12x400g,0.0,0.4111967
L'OR Intense Coffee 150g,NESCAFE ORIGINAL COFFEE 300G,0.0,0.33777612
L'OR Intense Coffee 150g,Nescafe Cafe Irish Cream Latte 158g,0.0,0.3065543
L'OR Intense Coffee 150g,Tassimo Cadburys Chocolate Pods 240g,0.0,0.28163183
L'OR Intense Coffee 150g,Nescafe Dolce Gusto Cafe Au Lait 160g,0.0,0.28035045
JS ROASTED MONKEY NUTS IN SHELLS 300G,JS ROASTED SALTED PISTACHIOS 300G,0.0,0.5467852
JS ROASTED MONKEY NUTS IN SHELLS 300G,JS Roasted Salted Pistachio 150g,0.0,0.5350603
JS ROASTED MONKEY NUTS IN SHELLS 300G,Monster Munch Roast Beef 6pk,0.0,0.35057124
JS ROASTED MONKEY NUTS IN SHELLS 300G,Mr Porky Scratchings 65g,0.0,0.28010577
JS House Malbec 225cl,JS House Soave 75cl,0.0,0.46820906
